Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,$37457154,$40231758,$43006362,$45780966,,,Bird Rights,$166476240
2,LeBron James\jamesle01,LAL,$35654150,$37436858,$39219565,$41002273,,,,$226621146
3,LeBron James\jamesle01,LAL,$35654150,$37436858,$39219565,$41002273,,,,$226621146
4,Chris Paul\paulch01,HOU,$35654150,$38506482,$41358814,$44211146,,,,$159730592
5,Russell Westbrook\westbru01,OKC,$35350000,$38178000,$41006000,$43848000,$46662000,,Bird Rights,$158382000
6,Blake Griffin\griffbl01,DET,$31873932,$34234964,$36595996,$38957028,,,Bird Rights,$102704892
7,Gordon Hayward\haywago01,BOS,$31214295,$32700690,$34187085,,,,Cap space,$63914985
8,Kyle Lowry\lowryky01,TOR,$31000000,$33296296,,,,,Bird Rights,$64296296
9,Paul George\georgpa01,OKC,$30560700,$33005556,$35450412,$37895268,,,Maximum Salary,$99016668
10,Mike Conley\conlemi01,MEM,$30521115,$32511623,$34504132,,,,Cap Space,$85459121
11,James Harden\hardeja01,HOU,$30431854,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$152903854
12,Kevin Durant\duranke01,GSW,$30000000,$31500000,,,,,,$30000000
13,Paul Millsap\millspa01,DEN,$29730769,$30500000,,,,,Cap space,$29730769
14,Al Horford\horfoal01,BOS,$28928710,$30123015,,,,,Cap Space,$28928710
15,Damian Lillard\lillada01,POR,$27977689,$29802321,$31626953,,,,1st Round Pick,$89406963
16,Carmelo Anthony\anthoca01,OKC,$27928140,,,,,,Bird Rights,$27928140
17,DeMar DeRozan\derozde01,SAS,$27739975,$27739975,$27739975,,,,Cap Space,$55479950
18,Chris Bosh\boshch01,MIA,$26837720,,,,,,,$26837720
19,Jrue Holiday\holidjr01,NOP,$26131111,$26131111,$26131111,$27020000,,,Bird Rights,$78393333
20,Otto Porter\porteot01,WAS,$26011913,$27250576,$28489239,,,,Bird Rights,$53262489
21,CJ McCollum\mccolcj01,POR,$25759766,$27556959,$29354152,,,,1st Round Pick,$82670877
22,Nikola Jokic\jokicni01,DEN,$25467250,$27504630,$29542010,$31579390,,,,$147710050
23,Bradley Beal\bealbr01,WAS,$25434263,$27093019,$28751775,,,,Cap Space,$81279057
24,Anthony Davis\davisan02,NOP,$25434263,$27093019,$28751775,,,,1st Round Pick,$52527282
25,Andre Drummond\drumman01,DET,$25434263,$27093019,$28751775,,,,Cap Space,$52527282
26,Hassan Whiteside\whiteha01,MIA,$25434263,$27093018,,,,,Cap Space,$25434263
27,Andrew Wiggins\wiggian01,MIN,$25250000,$27270000,$29290000,$31310000,$33330000,,1st Round Pick,$146450000
28,Joel Embiid\embiijo01,PHI,$25250000,$27270000,$29290000,$31310000,$33330000,,,
29,Steven Adams\adamsst01,OKC,$24157303,$25842697,$27528090,,,,1st Round Pick,$77528090
30,Giannis Antetokounmpo\antetgi01,MIL,$24157303,$25842697,$27528090,,,,1st Round Pick,$77528090
31,Kevin Love\loveke01,CLE,$24119025,,,,,,Bird Rights,$144519025
32,Marc Gasol\gasolma01,MEM,$24119025,$25595700,,,,,Bird Rights,$24119025
33,Chandler Parsons\parsoch01,MEM,$24107258,$25102511,,,,,Cap Space,$49209769
34,Harrison Barnes\barneha02,DAL,$24107258,$25102512,,,,,Cap Space,$24107258
35,Nicolas Batum\batumni01,CHO,$24000000,$25565217,$27130434,,,,Cap Space,$49565217
36,Rudy Gobert\goberru01,UTA,$23491573,$25008427,$26525281,,,,1st Round Pick,$75025281
37,DeAndre Jordan\jordade01,DAL,$22900000,,,,,,,$22900000
38,LaMarcus Aldridge\aldrila01,SAS,$22347015,$26000000,$24000000,,,,Cap Space,$55347015
39,Serge Ibaka\ibakase01,TOR,$21666667,$23271604,,,,,Cap space,$44938271
40,Danilo Gallinari\gallida01,LAC,$21587579,$22615559,,,,,Sign and Trade,$44203138
41,Aaron Gordon\gordoaa01,ORL,$21000000,$21000000,$21000000,$21000000,,,,$84000000
42,Victor Oladipo\oladivi01,IND,$21000000,$21000000,$21000000,,,,1st Round Pick,$63000000
43,Jimmy Butler\butleji01,MIN,$20445779,$19841627,,,,,Bird Rights,$20445779
44,Ryan Anderson\anderry01,HOU,$20421546,$21264635,,,,,Cap Space,$41686181
45,Kawhi Leonard\leonaka01,TOR,$20099189,$21329752,,,,,Bird Rights,$20099189
46,Kyrie Irving\irvinky01,BOS,$20099188,$21329750,,,,,Bird Rights,$20099188
47,Jabari Parker\parkeja01,CHI,$20000000,$20000000,,,,,,$20000000
48,Zach LaVine\lavinza01,CHI,$19500000,$19500000,$19500000,$19500000,,,,$78000000
49,Tyler Johnson\johnsty01,MIA,$19245370,$19245370,,,,,Cap Space,$19245370
50,John Wall\walljo01,WAS,$19169800,$37800000,$40824000,$43848000,$46872000,,Bird Rights,$141641800
51,George Hill\hillge01,CLE,$19000000,$18000000,,,,,Cap space,$20000000
52,Jeff Teague\teaguje01,MIN,$19000000,$19000000,,,,,Cap space,$19000000
53,Klay Thompson\thompkl01,GSW,$18988725,,,,,,1st Round Pick,$18988725
54,Dwight Howard\howardw01,BRK,$18919725,,,,,,,$18919725
55,Enes Kanter\kanteen01,NYK,$18622514,,,,,,Bird Rights,$18622514
56,Wesley Matthews\matthwe02,DAL,$18622514,,,,,,Cap Space,$18622514
57,Joakim Noah\noahjo01,NYK,$18530000,$19295000,,,,,Cap Space,$37825000
58,Allen Crabbe\crabbal01,BRK,$18500000,$18500000,,,,,Cap Space,$18500000
59,Goran Dragic\dragigo01,MIA,$18109175,$19217900,,,,,Bird Rights,$18109175
60,Kent Bazemore\bazemke01,ATL,$18089887,$19269662,,,,,Cap Space,$18089887
61,Luol Deng\denglu01,LAL,$18000000,$18810000,,,,,Cap Space,$36810000
62,Evan Turner\turneev01,POR,$17868852,$18606557,,,,,Cap Space,$36475409
63,Draymond Green\greendr01,GSW,$17469565,$18539130,,,,,Bird Rights,$36008695
64,Tristan Thompson\thomptr01,CLE,$17469565,$18539130,,,,,Bird Rights,$36008695
65,Tim Hardaway\hardati02,NYK,$17325000,$18150000,$18975000,,,,Cap space,$35475000
66,Reggie Jackson\jacksre01,DET,$17043478,$18086956,,,,,Bird Rights,$35130434
67,Evan Fournier\fournev01,ORL,$17000000,$17000000,$17000000,,,,Cap Space,$34000000
68,Bismack Biyombo\biyombi01,CHO,$17000000,$17000000,,,,,Cap Space,$17000000
69,Derrick Favors\favorde01,UTA,$16900000,$16900000,,,,,,$16000000
70,Jonas Valanciunas\valanjo01,TOR,$16539326,$17617977,,,,,1st Round Pick,$16539326
71,Gary Harris\harriga01,DEN,$16517857,$17839286,$19160714,$20482143,,,1st Round Pick,$74000000
72,Andre Iguodala\iguodan01,GSW,$16000000,$17185185,,,,,Bird Rights,$33185185
73,Timofey Mozgov\mozgoti01,ORL,$16000000,$16720000,,,,,Cap Space,$32720000
74,Pau Gasol\gasolpa01,SAS,$16000000,$16000000,,,,,,$22700000
75,Ian Mahinmi\mahinia01,WAS,$15944154,$15450051,,,,,Cap Space,$31394205
76,Dennis Schroder\schrode01,ATL,$15500000,$15500000,$15500000,,,,1st Round Pick,$46500000
77,DeMarre Carroll\carrode01,BRK,$15400000,,,,,,Cap Space,$15400000
78,Gorgui Dieng\dienggo01,MIN,$15170787,$16229213,$17287640,,,,1st Round Pick,$48687640
79,Trevor Ariza\arizatr01,PHO,$15000000,,,,,,Cap Space,$15000000
80,Eric Bledsoe\bledser01,MIL,$15000000,,,,,,Bird Rights,$15000000
81,Ricky Rubio\rubiori01,UTA,$14975000,,,,,,1st Round Pick,$14975000
82,Tobias Harris\harrito02,LAC,$14800000,,,,,,Bird Rights,$14800000
83,J.R. Smith\smithjr01,CLE,$14720000,$15680000,,,,,Bird Rights,$18590000
84,James Johnson\johnsja01,MIA,$14651700,$15349400,$16047100,,,,Cap space,$30001100
85,Brandon Knight\knighbr03,PHO,$14631250,$15643750,,,,,,$30275000
86,Robin Lopez\lopezro01,CHI,$14357750,,,,,,Cap Space,$14357750
87,Marvin Williams\willima02,CHO,$14087500,$15006250,,,,,Cap Space,$14087500
88,Taj Gibson\gibsota01,MIN,$14000000,,,,,,Cap space,$14000000
89,Thaddeus Young\youngth01,IND,$13764045,,,,,,Bird Rights,$13764045
90,Kenneth Faried\farieke01,BRK,$13764045,,,,,,1st Round Pick,$13764045
91,Tyson Chandler\chandty01,PHO,$13585000,,,,,,Cap Space,$13585000
92,Marcin Gortat\gortama01,LAC,$13565218,,,,,,Bird Rights,$13565218
93,Cody Zeller\zelleco01,CHO,$13528090,$14471910,$15415730,,,,1st Round Pick,$43415730
94,Eric Gordon\gordoer01,HOU,$13500375,$14057730,,,,,Cap Space,$27558105
95,Joe Ingles\inglejo01,UTA,$13045455,$11954546,$10863637,,,,Bird Rights,$35863638
96,Khris Middleton\middlkh01,MIL,$13000000,$13000000,,,,,Bird Rights,$13000000
97,Michael Kidd-Gilchrist\kiddgmi01,CHO,$13000000,$13000000,,,,,1st Round Pick,$13000000
98,Mason Plumlee\plumlma01,DEN,$12917808,$14041096,,,,,Cap space,$26958904
99,Wilson Chandler\chandwi01,PHI,$12800562,,,,,,,$12800562
100,Solomon Hill\hillso01,NOP,$12752928,$13258781,,,,,Cap Space,$26011709
101,Nikola Vucevic\vucevni01,ORL,$12750000,,,,,,Bird Rights,$12750000
102,Austin Rivers\riverau01,WAS,$12650000,,,,,,Cap Space,$12650000
103,Jeremy Lin\linje01,ATL,$12516746,,,,,,Cap Space,$12516746
104,Jordan Clarkson\clarkjo01,CLE,$12500000,$13437500,,,,,Cap Space,$25937500
105,Miles Plumlee\plumlmi01,ATL,$12500000,$12500000,,,,,Bird Rights,$25000000
106,J.J. Redick\redicjj01,PHI,$12500000,,,,,,,$12500000
107,Nikola Mirotic\mirotni01,NOP,$12500000,,,,,,Cap space,$12500000
108,Courtney Lee\leeco01,NYK,$12253780,$12759670,,,,,Cap Space,$25013450
109,Jusuf Nurkic\nurkiju01,POR,$12000000,$12000000,$12000000,$12000000,,,,$40000000
110,Will Barton\bartowi01,DEN,$12000000,$12960000,$13920000,$14880000,,,,$38880000
111,Kentavious Caldwell-Pope\caldwke01,LAL,$12000000,,,,,,,$12000000
112,Avery Bradley\bradlav01,LAC,$12000000,$12960000,,,,,,$12000000
113,Tyreke Evans\evansty01,IND,$12000000,,,,,,,$12000000
114,Kemba Walker\walkeke02,CHO,$12000000,,,,,,1st Round Pick,$12000000
115,T.J. Warren\warretj01,PHO,$11750000,$10810000,$11750000,$12690000,,,1st Round Pick,$47000000
116,Zach Randolph\randoza01,SAC,$11692308,,,,,,Cap space,$11692308
117,Marcus Smart\smartma01,BOS,$11660716,$12553471,$13446428,$14339285,,,,$51999900
118,Patty Mills\millspa02,SAS,$11571429,$12428571,$13285714,,,,Bird Rights,$37285714
119,Dion Waiters\waitedi01,MIA,$11550000,$12100000,$12650000,,,,Cap space,$36300000
120,Alec Burks\burksal01,UTA,$11536515,,,,,,1st Round Pick,$11536515
121,Omer Asik\asikom01,CHI,$11286516,$11977527,,,,,Bird Rights,$14286516
122,Kelly Olynyk\olynyke01,MIA,$11137527,$11667885,$12198243,,,,Cap space,$22805412
123,Iman Shumpert\shumpim01,SAC,$11011234,,,,,,Bird Rights,$11011234
124,Maurice Harkless\harklma01,POR,$10837079,$11511234,,,,,Cap Space,$22348313
125,Tony Snell\snellto01,MIL,$10607143,$11392857,$12178571,,,,Cap space,$22000000
126,Meyers Leonard\leoname01,POR,$10595506,$11286515,,,,,Cap Space,$21882021
127,John Henson\hensojo01,MIL,$10577466,$9732396,,,,,1st Round Pick,$20309862
128,Terrence Ross\rosste01,ORL,$10500000,,,,,,Rookie scale extension,$10500000
129,Bojan Bogdanovic\bogdabo02,IND,$10500000,,,,,,Cap space,$10500000
130,Robert Covington\covinro01,PHI,$10464092,$11301219,$12138345,$12975471,,,Cap Space,$46879127
131,Rudy Gay\gayru01,SAS,$10087200,,,,,,Non-Bird Rights,$10087200
132,Jon Leuer\leuerjo01,DET,$10002681,$9508043,,,,,Cap Space,$19510724
133,Andre Roberson\roberan03,OKC,$10000000,$10740741,,,,,Bird Rights,$20740741
134,Danny Green\greenda02,TOR,$10000000,,,,,,Bird Rights,$10000000
135,Darren Collison\collida01,IND,$10000000,,,,,,Cap space,$10000000
136,Dwight Powell\poweldw01,DAL,$9631250,$10259375,,,,,Cap Space,$9631250
137,Matthew Dellavedova\dellama01,MIL,$9607500,$9607500,,,,,Cap Space,$19215000
138,Dante Exum\exumda01,UTA,$9600000,$9600000,$9600000,,,,Cap Space,$27300000
139,Jared Dudley\dudleja01,BRK,$9530000,,,,,,Cap Space,$9530000
140,Norman Powell\powelno01,TOR,$9367200,$10116576,$10865952,$11615328,,,Cap Space,$30349728
141,Josh Richardson\richajo01,MIA,$9300000,$10100000,$10800000,$11600000,,,Minimum Salary,$30200000
142,Fred VanVleet\vanvlfr01,TOR,$9000000,$9000000,,,,,Bird Rights,$18000000
143,Bogdan Bogdanovic\bogdabo01,SAC,$9000000,$8529386,,,,,Cap space,$17529386
144,Rajon Rondo\rondora01,LAL,$9000000,,,,,,,$9000000
145,E'Twaun Moore\mooreet01,NOP,$8808685,$8664928,,,,,Cap Space,$17473613
146,Kosta Koufos\koufoko01,SAC,$8739500,,,,,,Cap Space,$8739500
147,Jerami Grant\grantje01,OKC,$8653847,$9346153,$9346153,,,,,$18000000
148,Kyle Anderson\anderky01,MEM,$8641000,$9073050,$9505100,$9937150,,,MLE,$37156300
149,Julius Randle\randlju01,NOP,$8641000,$9073050,,,,,MLE,$8641000
150,Markieff Morris\morrima02,WAS,$8600000,,,,,,Bird Rights,$8600000
151,Jerryd Bayless\bayleje01,PHI,$8575916,,,,,,Cap Space,$8575916
152,Cristiano Felicio\feliccr01,CHI,$8470980,$8156500,$7529020,,,,Cap space,$24156500
153,Markelle Fultz\fultzma01,PHI,$8339880,$9745200,$12288697,,,,1st Round Pick,$8339880
154,C.J. Miles\milescj01,TOR,$8333333,$8730158,,,,,MLE,$8333333
155,Shaun Livingston\livinsh01,GSW,$8307692,$7692308,,,,,Bird Rights,$10307692
156,Deandre Ayton\aytonde01,PHO,$8165160,$9562920,$10018200,$12632950,,,1st Round Pick,$17728080
157,Lou Williams\willilo02,LAC,$8000000,$8000000,$1500000,,,,Cap Space,$16000000
158,Joe Harris\harrijo01,BRK,$8000000,$8000000,,,,,Early Bird Rights,$16000000
159,Garrett Temple\templga01,MEM,$8000000,,,,,,Cap Space,$8000000
160,P.J. Tucker\tuckepj01,HOU,$7969537,$8349039,$7969537,,,,MLE,$18887764
161,Cory Joseph\josepco01,IND,$7945000,,,,,,Cap Space,$7945000
162,JaMychal Green\greenja01,MEM,$7866667,,,,,,Bird Rights,$7866667
163,Karl-Anthony Towns\townska01,MIN,$7839435,,,,,,,
164,Kyle Korver\korveky01,CLE,$7560000,$7500000,,,,,Bird Rights,$11000000
165,Jeremy Lamb\lambje01,CHO,$7488372,,,,,,Rookie scale extension,$7488372
166,Darrell Arthur\arthuda01,PHO,$7464912,,,,,,Cap Space,$7464912
167,Lonzo Ball\balllo01,LAL,$7461960,$8719320,$11003782,,,,1st Round Pick,$7461960
168,Doug McDermott\mcderdo01,IND,$7333333,$7333334,$7333333,,,,,$22000000
169,Jae Crowder\crowdja01,UTA,$7305825,$7815533,,,,,Bird Rights,$15121358
170,Marvin Bagley\baglema01,SAC,$7305600,$8556120,$8963640,$11312114,,,1st Round Pick,$15861720
171,D.J. Augustin\augusdj01,ORL,$7250000,$7250000,,,,,Cap Space,$14500000
172,Lance Thomas\thomala01,NYK,$7119650,$7583975,,,,,Cap Space,$7119650
173,D'Angelo Russell\russeda01,BRK,$7019698,,,,,,1st round pick,$7019698
174,Langston Galloway\gallola01,DET,$7000000,$7333333,,,,,MLE,$14333333
175,Davis Bertans\bertada01,SAS,$7000000,$7000000,,,,,Early Bird Rights,$14000000
176,Ersan Ilyasova\ilyaser01,MIL,$7000000,$7000000,$7000000,,,,MLE,$14000000
177,Boban Marjanovic\marjabo01,LAC,$7000000,,,,,,Cap Space,$7000000
178,Al-Farouq Aminu\aminual01,POR,$6957105,,,,,,Cap Space,$6957105
179,Jayson Tatum\tatumja01,BOS,$6700800,$7830000,$9897120,,,,1st Round Pick,$6700800
180,Luka Doncic\doncilu01,DAL,$6560640,$7683360,$8049360,$10174391,,,1st Round Pick,$14244000
181,Mario Hezonja\hezonma01,NYK,$6500000,,,,,,MLE,$6500000
182,Ben Simmons\simmobe01,PHI,$6434520,$8113930,,,,,1st Round pick,$6434520
183,Milos Teodosic\teodomi01,LAC,$6300000,,,,,,MLE,$6300000
184,Dewayne Dedmon\dedmode01,ATL,$6300000,,,,,,Cap space,$6300000
185,Wayne Ellington\ellinwa01,MIA,$6270000,,,,,,,$6270000
186,Marco Belinelli\belinma01,SAS,$6153846,$5846154,,,,,MLE,$12000000
187,Wesley Johnson\johnswe01,LAC,$6134520,,,,,,Cap Space,$6134520
